generation,N_shifts,logPrior,logLik,eventRate,acceptRate
433000,2,3.19039,-5.81573,1.4518,0.324
434000,1,2.53649,-13.2092,0.583738,0.376
435000,3,1.81857,-19.3414,2.62454,0.453
436000,1,-0.762006,-13.0126,1.99849,0.3592
437000,2,-1.5057,-12.7618,1.33199,0.452
438000,1,-0.684404,-9.24388,0.667867,0.3565
439000,1,-1.31784,-10.6273,0.517932,0.344
440000,1,-1.21733,-15.8557,0.869299,0.415
441000,1,1.50483,-10.8895,0.516647,0.39375
442000,1,2.03624,-9.85742,0.279711,0.414667
443000,3,3.35567,-10.9989,1.83537,0.311
444000,2,1.93791,-7.44158,0.753385,0.407
445000,3,1.70299,-7.77432,2.18051,0.356
446000,1,1.14259,-10.3825,0.975462,0.385
447000,3,0.265345,-9.4181,2.16684,0.422429
448000,3,2.96904,-5.30706,2.12957,0.385417
449000,1,-0.206524,-7.65606,0.437533,0.358
450000,1,-2.58354,-11.3208,2.77578,0.341
451000,1,0.945714,-6.14944,0.252862,0.3665
452000,1,0.640263,-12.018,0.675514,0.428545
453000,4,4.55757,-10.4849,1.23053,0.349
454000,1,-2.14593,-5.96527,1.82845,0.354125
455000,1,0.625838,-10.8552,0.979063,0.324
456000,1,1.07414,-9.11439,0.110764,0.371
457000,1,-3.05913,-7.39856,0.249611,0.372
458000,1,1.7153,-8.00228,0.24305,0.372
459000,1,0.367706,-7.07581,1.35019,0.369111
460000,3,0.536254,-13.2241,1.46992,0.356
461000,1,-0.246497,-14.0904,2.90104,0.358125
462000,2,1.61955,-9.62199,0.699904,0.40525
463000,1,0.948922,-5.13863,0.329303,0.411667
464000,2,2.05245,-14.4223,2.78078,0.444222
465000,4,1.327,-15.204,5.67756,0.435
466000,2,2.17865,-17.4585,0.944779,0.4186
467000,2,0.82571,-19.3615,0.421143,0.508
468000,1,0.712183,-13.409,2.21298,0.3948
469000,3,0.708242,-10.7149,1.53936,0.394571
470000,1,1.28964,-19.1845,0.708152,0.5232
471000,3,2.99382,-17.3593,1.31788,0.4205
472000,2,4.36161,-18.3743,0.334044,0.5154
473000,1,-2.05623,-23.3219,1.95812,0.551
474000,1,1.06375,-9.7736,0.721838,0.505
475000,2,1.43494,-8.38365,0.539894,0.363
476000,4,0.826978,-12.5711,2.72139,0.348
477000,3,-1.80526,-15.5702,4.82215,0.407
478000,1,0.754322,-15.7804,0.538077,0.4786
479000,1,-0.0582873,-11.4737,0.106318,0.37825
480000,1,1.00939,-28.0047,0.880001,0.5145
481000,1,1.36146,-15.2281,1.2258,0.459
482000,1,-1.18207,-17.5256,1.77602,0.41
483000,2,1.45578,-15.7604,1.11748,0.4635
484000,1,2.17023,-6.20009,0.227583,0.334667
485000,2,2.3593,-7.33311,0.482095,0.364
486000,1,-1.2921,-6.38475,1.06302,0.346
487000,2,2.71907,-5.79868,0.624997,0.357
488000,2,0.809368,-17.5315,0.873393,0.500667
489000,3,4.19101,-12.1715,1.19165,0.492167
490000,3,0.51948,-4.60165,4.37501,0.305
