gene_id,num_transcript,num_exon,num_uniq_exon
LOC100191608,1,2,2
LOC100191609,1,1,1
LOC100191610,2,24,14
LOC100191611,1,7,7
LOC100191612,1,4,4
LOC100191613,1,15,15
LOC100191614,1,16,16
LOC100191615,1,2,2
LOC100191616,1,6,6
LOC100191617,1,1,1
LOC100191618,1,4,4
LOC100191619,2,12,9
LOC100191620,3,8,7
LOC100191621,1,1,1
LOC100191622,1,5,5
LOC100191623,1,1,1
LOC100191624,1,12,12
LOC100191625,5,65,21
LOC100191626,3,27,14
LOC100191627,1,2,2
LOC100191628,2,15,10
LOC100191629,2,26,16
LOC100191630,2,7,6
LOC100191631,1,12,12
LOC100191632,1,13,13
LOC100191633,3,15,9
LOC100191634,2,12,9
LOC100191635,1,4,4
LOC100191636,2,6,4
LOC100191637,1,1,1
LOC100191638,2,6,6
LOC100191639,1,4,4
LOC100191640,1,7,7
LOC100191641,3,15,9
LOC100191642,1,5,5
LOC100191643,3,45,21
LOC100191644,1,10,10
LOC100191645,2,10,8
LOC100191647,1,2,2
LOC100191648,2,16,11
LOC100191649,1,6,6
LOC100191650,1,5,5
LOC100191652,4,24,10
LOC100191653,3,15,9
LOC100191654,2,22,14
LOC100191655,2,14,9
LOC100191656,1,6,6
LOC100191657,1,15,15
LOC100191658,2,7,6
LOC100191659,1,1,1
LOC100191660,5,63,20
LOC100191661,1,4,4
LOC100191662,7,44,15
LOC100191663,4,38,14
LOC100191664,1,1,1
LOC100191665,2,6,6
LOC100191666,1,7,7
LOC100191667,11,118,21
LOC100191668,1,5,5
LOC100191669,3,26,13
LOC100191670,1,1,1
LOC100191671,1,9,9
LOC100191672,1,3,3
LOC100191673,2,20,12
LOC100191674,2,18,11
LOC100191675,1,1,1
LOC100191676,1,12,12
LOC100191677,1,5,5
LOC100191678,1,17,17
LOC100191679,2,17,11
LOC100191680,2,5,5
LOC100191681,1,2,2
LOC100191682,1,3,3
LOC100191683,1,4,4
LOC100191684,1,2,2
LOC100191685,2,6,5
LOC100191686,1,2,2
LOC100191687,2,18,12
LOC100191688,1,1,1
LOC100191689,1,4,4
LOC100191690,1,3,3
LOC100191691,1,1,1
LOC100191692,1,1,1
LOC100191693,1,2,2
LOC100191694,1,8,8
LOC100191695,2,9,7
LOC100191697,2,16,11
LOC100191698,1,2,2
LOC100191699,3,15,9
LOC100191700,2,22,12
LOC100191701,1,2,2
LOC100191702,1,5,5
LOC100191704,1,2,2
LOC100191705,1,8,8
LOC100191706,1,1,1
LOC100191707,1,3,3
LOC100191708,1,1,1
LOC100191709,1,4,4
LOC100191710,3,25,12
LOC100191711,1,2,2
LOC100191712,4,54,20
LOC100191713,1,2,2
LOC100191714,1,2,2
LOC100191715,1,5,5
LOC100191716,1,3,3
LOC100191717,2,8,6
LOC100191718,3,9,6
LOC100191719,3,5,5
LOC100191720,1,2,2
LOC100191721,2,12,8
LOC100191722,1,1,1
LOC100191723,1,2,2
LOC100191724,1,5,5
LOC100191725,1,2,2
LOC100191726,1,3,3
LOC100191727,1,6,6
LOC100191728,1,1,1
LOC100191729,2,12,9
LOC100191730,2,7,6
LOC100191731,2,8,6
LOC100191733,1,3,3
LOC100191734,2,15,11
LOC100191735,2,9,7
LOC100191736,2,16,11
LOC100191737,2,22,13
LOC100191738,1,1,1
LOC100191739,1,2,2
LOC100191740,2,4,4
LOC100191741,3,31,13
LOC100191742,1,1,1
LOC100191743,1,4,4
LOC100191744,2,4,3
LOC100191745,1,5,5
LOC100191746,2,7,6
LOC100191747,1,13,13
LOC100191748,1,4,4
LOC100191749,1,5,5
LOC100191750,1,1,1
LOC100191751,1,7,7
LOC100191752,1,20,20
LOC100191753,1,5,5
LOC100191754,1,10,10
LOC100191755,1,1,1
LOC100191756,2,23,14
LOC100191757,2,20,13
LOC100191759,1,5,5
LOC100191760,1,6,6
LOC100191761,1,10,10
LOC100191763,3,23,11
LOC100191764,1,15,15
LOC100191765,3,8,6
LOC100191766,2,15,10
LOC100191767,8,39,13
LOC100191769,1,3,3
LOC100191770,1,2,2
LOC100191771,1,2,2
LOC100191772,2,7,6
LOC100191773,5,39,14
LOC100191775,1,3,3
LOC100191776,1,7,7
LOC100191777,1,8,8
LOC100191778,1,3,3
LOC100191779,1,5,5
LOC100191780,1,1,1
LOC100191781,2,14,10
LOC100191782,4,11,9
LOC100191783,2,34,19
LOC100191784,2,19,12
LOC100191786,2,4,4
LOC100191787,1,5,5
LOC100191788,3,31,15
LOC100191789,1,5,5
LOC100191790,1,1,1
LOC100191791,1,2,2
LOC100191792,1,3,3
LOC100191793,6,45,15
LOC100191794,1,1,1
LOC100191795,1,11,11
LOC100191796,2,13,9
LOC100191797,1,8,8
LOC100191798,2,14,10
LOC100191799,1,2,2
LOC100191802,3,37,16
LOC100191804,1,1,1
LOC100191805,1,2,2
LOC100191806,1,8,8
LOC100191807,1,5,5
LOC100191808,4,12,11
LOC100191809,1,3,3
LOC100191810,1,1,1
LOC100191811,1,3,3
LOC100191812,1,13,13
LOC100191813,4,18,10
LOC100191814,1,4,4
LOC100191815,4,26,11
LOC100191816,3,23,12
LOC100191817,1,3,3
LOC100191818,2,12,8
LOC100191819,1,7,7
LOC100191820,2,20,13
LOC100191821,1,3,3
LOC100191822,15,216,29
LOC100191823,1,11,11
LOC100191824,1,2,2
LOC100191825,1,11,11
LOC100191826,1,5,5
LOC100191827,1,3,3
LOC100191828,1,2,2
LOC100191829,1,3,3
LOC100191830,2,13,10
LOC100191831,1,1,1
LOC100191832,1,6,6
LOC100191833,17,98,23
LOC100191834,2,7,6
LOC100191835,9,141,28
LOC100191836,1,4,4
LOC100191837,1,3,3
LOC100191838,1,2,2
LOC100191839,1,4,4
LOC100191840,1,9,9
LOC100191841,3,24,11
LOC100191842,1,1,1
LOC100191843,1,6,6
LOC100191844,1,7,7
LOC100191845,2,22,14
LOC100191846,1,21,21
LOC100191847,1,3,3
LOC100191848,1,8,8
LOC100191849,1,3,3
LOC100191850,2,13,9
LOC100191851,1,19,19
LOC100191852,2,16,10
LOC100191853,1,1,1
LOC100191854,1,2,2
LOC100191855,1,18,18
LOC100191856,1,5,5
LOC100191857,1,2,2
LOC100191858,4,11,8
LOC100191859,1,16,16
LOC100191860,1,14,14
LOC100191861,2,14,11
LOC100191862,2,27,16
LOC100191864,1,10,10
LOC100191865,1,1,1
LOC100191866,2,20,13
LOC100191868,2,18,12
LOC100191869,2,16,11
LOC100191870,1,9,9
LOC100191871,1,8,8
LOC100191872,1,2,2
LOC100191873,1,1,1
LOC100191874,1,7,7
LOC100191875,3,18,9
LOC100191876,3,18,11
LOC100191877,1,14,14
LOC100191878,1,3,3
LOC100191879,1,2,2
LOC100191880,3,17,8
LOC100191881,1,1,1
LOC100191882,1,6,6
LOC100191885,2,11,8
LOC100191886,1,1,1
LOC100191887,1,2,2
LOC100191888,1,2,2
LOC100191889,1,1,1
LOC100191890,3,27,15
LOC100191891,3,51,21
LOC100191892,1,9,9
LOC100191893,2,24,15
LOC100191894,19,206,22
LOC100191895,1,2,2
LOC100191896,1,6,6
LOC100191897,1,1,1
LOC100191898,4,92,29
LOC100191899,1,1,1
LOC100191900,1,14,14
LOC100191901,1,7,7
LOC100191902,2,12,9
LOC100191903,4,24,11
LOC100191905,3,8,6
LOC100191906,1,5,5
LOC100191907,1,1,1
LOC100191908,2,15,10
LOC100191909,6,67,17
LOC100191910,2,14,10
LOC100191911,1,1,1
LOC100191912,1,4,4
LOC100191913,1,5,5
LOC100191914,1,1,1
LOC100191915,1,5,5
LOC100191916,2,13,9
LOC100191917,1,1,1
LOC100191918,1,4,4
LOC100191919,1,1,1
LOC100191920,3,26,14
LOC100191921,4,48,20
LOC100191922,1,4,4
LOC100191923,1,7,7
LOC100191924,1,2,2
LOC100191925,1,3,3
LOC100191926,1,7,7
LOC100191927,2,12,8
LOC100191928,9,48,14
LOC100191929,2,11,8
LOC100191930,1,3,3
LOC100191931,2,3,3
LOC100191932,1,7,7
