generation,N_shifts,logPrior,logLik,eventRate,acceptRate
427000,2,4.31049,-42.109,1.22676,0.396
428000,3,-3.79867,-47.84,1.38279,0.403
429000,3,4.13221,-50.1126,1.74607,0.395
430000,2,4.71129,-53.9176,0.695351,0.416
431000,2,4.41272,-28.6952,1.12312,0.397583
432000,2,1.78004,-55.1288,3.55298,0.407
433000,2,4.25532,-34.2125,1.07984,0.407
434000,2,4.9871,-23.7369,0.683426,0.35
435000,5,6.58779,-61.1551,2.25423,0.431615
436000,6,7.17139,-62.9795,3.106,0.414
437000,5,6.81542,-49.5995,1.51542,0.424
438000,7,3.53922,-47.7259,3.15365,0.41
439000,6,3.16228,-45.0015,6.09529,0.435
440000,6,5.94598,-39.9335,3.66158,0.352
441000,5,3.70796,-38.0036,2.3134,0.384
442000,4,6.66233,-39.095,2.31511,0.404588
443000,2,4.57612,-30.0247,0.834607,0.378778
444000,2,5.43172,-29.2342,0.463324,0.386
445000,2,2.55143,-31.6873,3.36358,0.406
446000,2,4.82558,-20.0492,0.336045,0.393
447000,3,5.32856,-49.1491,0.812963,0.4154
448000,3,4.52723,-59.8705,1.71876,0.417
449000,2,4.22138,-49.6524,0.658249,0.425
450000,2,3.19341,-42.3723,1.00758,0.383
451000,3,0.941334,-49.0331,2.57268,0.396
452000,3,6.66209,-60.1293,0.812888,0.43
453000,4,5.36631,-49.472,2.87868,0.427
454000,3,5.58321,-43.0804,1.5176,0.426
455000,6,6.48997,-44.0635,5.28736,0.384
456000,5,4.92204,-44.0022,3.75689,0.417
457000,4,5.11658,-42.2024,2.84259,0.382
458000,4,7.39,-54.0997,1.50352,0.366
459000,2,4.27549,-45.9127,1.17098,0.389692
460000,3,5.31204,-37.178,1.34118,0.431
461000,3,3.94767,-49.8059,2.18235,0.437667
462000,3,3.06828,-48.2939,1.85912,0.411
463000,2,5.75764,-50.9823,0.315026,0.418583
464000,2,3.91323,-27.0527,2.23394,0.38325
465000,2,3.19767,-21.1815,2.95008,0.388
466000,2,0.352401,-23.7436,4.27566,0.355
467000,2,5.0942,-22.9121,1.09043,0.358
468000,2,2.74293,-52.2597,2.95702,0.3964
469000,3,5.90246,-51.7098,1.36133,0.412
470000,2,4.03781,-44.8057,1.64417,0.386
471000,4,3.05947,-61.1696,2.3201,0.417556
472000,4,1.84495,-51.8016,3.4249,0.405
473000,4,4.6185,-36.6898,2.50894,0.378
474000,6,9.17655,-55.6806,2.02516,0.406
475000,5,5.99551,-58.6495,3.58966,0.433
476000,5,6.10906,-43.6745,3.51682,0.41
477000,5,3.65383,-50.5355,2.75093,0.384
478000,4,4.59852,-55.3366,3.39458,0.383
479000,3,5.06073,-38.2604,2.24781,0.4207
480000,3,3.94326,-38.4078,3.2898,0.367
481000,3,4.60065,-67.475,2.23395,0.447
482000,2,2.33238,-54.5762,3.31275,0.428
483000,3,3.69824,-39.5821,1.20791,0.394692
484000,4,2.7886,-49.4699,2.42999,0.4315
485000,2,-0.341592,-31.4067,3.90334,0.4455
486000,2,2.58709,-15.2087,0.971258,0.417
487000,2,2.04278,-30.5466,1.91579,0.399
488000,3,2.89518,-26.7005,2.98711,0.384
489000,2,4.96159,-23.8364,1.0812,0.406
490000,3,4.79915,-21.7571,2.52066,0.395
491000,2,4.1956,-23.9361,1.12047,0.375
492000,3,5.95792,-20.0227,0.895942,0.381
493000,4,4.08607,-44.5583,2.04764,0.405333
494000,2,5.54173,-19.2762,0.393978,0.384
495000,4,3.53871,-32.227,1.76104,0.406848
496000,5,5.8405,-58.1392,3.07546,0.416
497000,5,8.05572,-41.1664,1.59783,0.409
498000,2,3.95716,-28.1821,2.01659,0.387
499000,2,4.35058,-31.3725,1.61952,0.366
500000,2,4.39281,-35.186,1.58279,0.42
501000,2,2.00935,-47.5662,4.03415,0.415579
502000,5,3.06188,-42.1976,2.4355,0.409714
503000,4,1.62614,-37.0952,2.42641,0.423
504000,4,0.54316,-29.3001,3.44459,0.405
505000,4,6.71229,-26.7387,0.968626,0.382
506000,4,1.77817,-30.9528,5.38578,0.375
507000,4,0.402546,-39.3926,4.62992,0.395
508000,6,-0.695903,-40.6153,7.35622,0.388
509000,4,8.25387,-42.351,1.40507,0.421
510000,3,5.46204,-23.9467,1.81852,0.3762
511000,6,8.66147,-21.7214,1.89505,0.3645
512000,3,4.69812,-13.3727,3.14209,0.361
513000,5,7.72485,-24.1837,1.25104,0.3725
514000,3,6.16686,-10.9541,1.74751,0.374
515000,8,7.49956,-20.6694,7.15391,0.346
516000,8,10.603,-11.694,3.15077,0.361
517000,7,5.44627,-20.6326,4.83008,0.3749
518000,7,7.71121,-21.4073,3.32295,0.333
519000,4,4.07834,-33.0975,3.00618,0.384
520000,3,4.21519,-39.5091,3.4248,0.412789
521000,2,4.20222,-34.1899,1.86824,0.391
522000,5,-0.0675666,-51.2116,3.72702,0.398111
523000,5,3.48126,-38.0848,2.74725,0.451
524000,2,1.39238,-23.2672,3.00625,0.379625
525000,4,1.78191,-30.626,3.54463,0.386167
526000,4,3.37138,-44.9451,2.73971,0.382
527000,3,5.00416,-39.9361,1.25404,0.362333
528000,3,2.78396,-30.4617,3.03994,0.449
529000,5,5.05079,-35.3061,2.85184,0.426
530000,2,3.57884,-41.7326,2.35184,0.4225
531000,4,4.36389,-50.3016,1.11941,0.4035
532000,4,1.38082,-46.7014,4.11183,0.401
533000,4,2.38457,-38.7398,2.37285,0.413
534000,4,-0.990095,-38.2081,3.51553,0.389
535000,3,3.47465,-35.1296,1.60905,0.39775
536000,3,3.41232,-21.8838,1.71551,0.392
537000,4,4.74632,-29.0533,2.94571,0.382
538000,3,2.64178,-22.8148,4.52933,0.38
539000,5,8.28948,-34.09,2.91733,0.392
540000,7,6.82089,-59.6136,3.77769,0.4205
541000,4,4.71687,-50.7413,2.46295,0.436
542000,5,6.34372,-37.2197,3.17676,0.427
543000,2,4.40444,-20.9212,1.31447,0.399538
544000,2,2.72363,-15.1874,3.01159,0.39
545000,2,3.78623,-16.0914,1.65064,0.375
